file_size_label,protocol,count,mean,std,median,p90,p95,min,max,ic95_half,ic95_low,ic95_high,metric
100MB,http1.1,10,0.0494601,0.003862053841905596,0.0478345,0.054789,0.056031,0.045734,0.057273,0.0027627468869678316,0.04669735311303217,0.05222284688696783,ttfb_sec
100MB,http2,10,0.0443712,0.0030920247160144835,0.044038,0.0474809,0.04852445,0.038636,0.049568,0.0022119012339770015,0.042159298766023,0.046583101233977,ttfb_sec
100MB,http3,10,0.0348913,0.0037159280895446116,0.034728,0.039691199999999996,0.040740599999999995,0.030094,0.04179,0.002658214820878886,0.032233085179121115,0.037549514820878885,ttfb_sec
1GB,http1.1,10,0.0500287,0.0058263756039048644,0.047887,0.0592513,0.06083664999999999,0.045563,0.062422,0.004167938024926933,0.04586076197507307,0.054196638024926934,ttfb_sec
1GB,http2,10,0.0416668,0.0032526442507938404,0.0412125,0.0448333,0.046540149999999995,0.037735,0.048247,0.0023268015274123042,0.03933999847258769,0.0439936015274123,ttfb_sec
1GB,http3,10,0.0367811,0.005448197305327495,0.036285,0.044004299999999996,0.04445115,0.030516,0.044898,0.0038974055673582186,0.03288369443264178,0.04067850556735821,ttfb_sec
