file_size_label,protocol,count,mean,std,median,p90,p95,min,max,ic95_half,ic95_low,ic95_high,metric
100MB,http1.1,10,0.0284074,0.0034014778879513864,0.027158500000000002,0.033257999999999996,0.0342525,0.02516,0.035247,0.002433270697590994,0.025974129302409006,0.030840670697590992,tls_time_sec
100MB,http2,10,0.0281908,0.002343994065218122,0.027862,0.030604100000000002,0.03187355,0.024612,0.033143,0.0016767923420656274,0.026514007657934373,0.029867592342065624,tls_time_sec
100MB,http3,10,0.0173895,0.0023960920613921885,0.017236,0.0197839,0.021218949999999997,0.014821,0.022654,0.0017140610034150367,0.01567543899658496,0.019103561003415037,tls_time_sec
1GB,http1.1,10,0.0291945,0.005533451429462649,0.0271575,0.0384098,0.0394664,0.024914,0.040523,0.003958392693819238,0.025236107306180762,0.03315289269381924,tls_time_sec
1GB,http2,10,0.0269814,0.002960208408579068,0.0260645,0.029181799999999997,0.031601899999999995,0.024435,0.034022,0.00211760552813591,0.02486379447186409,0.029099005528135907,tls_time_sec
1GB,http3,10,0.0189273,0.003397106384688135,0.017608,0.0238359,0.02452845,0.015725,0.025221,0.0024301435125422327,0.016497156487457768,0.021357443512542235,tls_time_sec
