file_size_label,protocol,count,mean,std,median,p90,p95,min,max,ic95_half,ic95_low,ic95_high,metric
100MB,http1.1,10,255.65900000000002,59.65036545478065,276.02,318.749,322.1195,175.6,325.49,42.67130087067208,212.98769912932795,298.3303008706721,goodput_mbps
100MB,http2,10,287.929,59.82930004047626,262.505,365.549,376.11949999999996,219.85,386.69,42.799302962263205,245.12969703773678,330.7283029622632,goodput_mbps
100MB,http3,10,46.363,1.2016289869265895,46.865,47.425000000000004,47.4475,44.24,47.47,0.8595935941907289,45.50340640580927,47.22259359419073,goodput_mbps
1GB,http1.1,10,381.714,76.31431003131429,418.275,442.706,447.683,225.13,452.66,54.59196870390634,327.12203129609367,436.30596870390633,goodput_mbps
1GB,http2,10,376.646,44.913375191707765,371.99,416.5919999999999,447.5609999999999,328.65,478.53,32.12909311302708,344.51690688697295,408.7750931130271,goodput_mbps
1GB,http3,10,45.235,2.819721223415141,46.91,47.727000000000004,47.8485,41.44,47.97,2.017107050031057,43.21789294996894,47.25210705003106,goodput_mbps
