loss_percent,protocol,count,mean,std,median,p90,p95,min,max,ic95_half,ic95_low,ic95_high,metric
0,http1.1,10,1.67334,0.26119975412613916,1.7513999999999998,1.91549,1.9626949999999999,1.3491,2.0099,0.18685104794724752,1.4864889520527524,1.8601910479472477,total_batch_fct_sec
0,http2,10,1.0136800000000001,0.24828603039415828,0.9225,1.36346,1.4388799999999997,0.7742,1.5143,0.17761312649401137,0.8360668735059887,1.1912931264940114,total_batch_fct_sec
0,http3,10,1.40113,0.28898522857290365,1.27725,1.71531,1.9165049999999997,1.2046,2.1177,0.20672757897790922,1.1944024210220907,1.6078575789779093,total_batch_fct_sec
2,http1.1,10,1.5910199999999999,0.3385705139094202,1.4801000000000002,1.8331999999999997,2.170699999999999,1.4021,2.5082,0.24219875527701515,1.3488212447229848,1.833218755277015,total_batch_fct_sec
2,http2,10,1.0836000000000001,0.1959252238312702,1.08185,1.29713,1.3611649999999997,0.8189,1.4252,0.14015646191800263,0.9434435380819974,1.2237564619180028,total_batch_fct_sec
2,http3,10,1.6005300000000002,0.4785295556876991,1.4088,2.3789700000000003,2.430585,1.1798,2.4822,0.34231942236361157,1.2582105776363885,1.942849422363612,total_batch_fct_sec
5,http1.1,10,2.01396,0.5562174079340639,1.9852500000000002,2.51276,2.7875299999999994,1.3829,3.0623,0.39789396397667165,1.6160660360233283,2.4118539639766716,total_batch_fct_sec
5,http2,10,1.15641,0.21710121781735306,1.1287500000000001,1.46091,1.5086549999999999,0.9183,1.5564,0.15530485545635714,1.0011051445436427,1.3117148554563571,total_batch_fct_sec
5,http3,10,1.8374400000000002,0.6841529965341573,1.57125,3.08603,3.090665,1.3185,3.0953,0.4894135707988556,1.3480264292011446,2.326853570798856,total_batch_fct_sec
