loss_percent,protocol,count,mean,std,median,p90,p95,min,max,ic95_half,ic95_low,ic95_high,metric
0,http1.1,10,25.047,4.054306489538145,23.39,29.775000000000002,30.0675,20.38,30.36,2.9002761461394417,22.146723853860557,27.947276146139444,goodput_mbps
0,http2,10,42.322,8.823780746747206,44.445,51.155,52.0325,27.05,52.91,6.312152493796958,36.009847506203045,48.63415249379696,goodput_mbps
0,http3,10,30.111,4.779868547704354,32.07,33.973,33.9865,19.34,34.0,3.4193119751458014,26.691688024854198,33.5303119751458,goodput_mbps
2,http1.1,10,26.497000000000003,3.9664875309690992,27.675,29.048000000000002,29.129,16.33,29.21,2.8374542476535125,23.659545752346492,29.334454247653515,goodput_mbps
2,http2,10,38.932,7.047738486761394,37.875,48.247,49.1335,28.74,50.02,5.0416483978524935,33.89035160214751,43.97364839785249,goodput_mbps
2,http3,10,27.374000000000002,6.757772808650298,29.090000000000003,34.387,34.5535,16.5,34.72,4.8342194475265,22.539780552473502,32.2082194475265,goodput_mbps
5,http1.1,10,21.741,5.779993175697625,20.674999999999997,28.441,29.0305,13.38,29.62,4.134758034594035,17.606241965405964,25.875758034594035,goodput_mbps
5,http2,10,36.493,6.44359121746389,36.295,44.501000000000005,44.5505,26.32,44.6,4.609467476548136,31.883532523451866,41.102467476548135,goodput_mbps
5,http3,10,24.462,6.617273355897176,26.08,31.061,31.0655,13.23,31.07,4.733712193716998,19.728287806283003,29.195712193716997,goodput_mbps
