target_rate_mbps,count,mean,std,median,p90,p95,min,max,ic95_half,ic95_low,ic95_high,metric
10,10,0.062429530863277315,0.05418338670267325,0.05190316471901425,0.0882590140270935,0.1474357148331495,0.0230906941348774,0.2066124156392057,0.038760459865656086,0.02366907099762123,0.1011899907289334,jitter_ms
50,10,0.036894924857197434,0.021091577306671876,0.033303631675308004,0.05949256081226895,0.06868301509650895,0.0087248745477188,0.077873469380749,0.015088005483760278,0.021806919373437157,0.05198293034095771,jitter_ms
100,10,0.01247593305778552,0.007474041504581931,0.01135631800535505,0.018486550824896166,0.02394551453490292,0.0053390245970641,0.0294044782449097,0.005346607205678838,0.007129325852106681,0.01782254026346436,jitter_ms
250,10,0.06116547744134506,0.09112982529891311,0.00556704594435325,0.1967124774001117,0.20708781134555324,0.0016688709501683,0.2174631452909948,0.06519034986582893,-0.0040248724244838704,0.12635582730717398,jitter_ms
500,10,0.02278267516785697,0.04530948688882273,0.01106607413611255,0.029353782644806217,0.090198344842672,0.002229927143495,0.151042907040538,0.03241245435108686,-0.009629779183229891,0.05519512951894383,jitter_ms
