target_rate_mbps,count,mean,std,median,p90,p95,min,max,ic95_half,ic95_low,ic95_high,metric
10,10,9.99,1.8724445165742407e-15,9.99,9.99,9.99,9.99,9.99,1.3394661159444085e-15,9.989999999999998,9.990000000000002,goodput_mbps
50,10,49.957,0.00948683298050608,49.96,49.961,49.9655,49.94,49.97,0.006786471488223648,49.950213528511775,49.96378647148823,goodput_mbps
100,10,99.812,0.1070617682565647,99.83500000000001,99.921,99.9255,99.67,99.93,0.07658737528582743,99.73541262471417,99.88858737528582,goodput_mbps
250,10,244.004,6.5105985387929834,246.815,249.595,249.6175,231.7,249.64,4.6574016266102864,239.3465983733897,248.66140162661029,goodput_mbps
500,10,484.354,15.394888906531408,491.29999999999995,494.673,496.75649999999996,454.72,498.84,11.012840095659884,473.3411599043401,495.3668400956599,goodput_mbps
